completion	prompt
Playing cards, notepad, aspirin, sewing kit, pilot's wing pin, propellor-shaped swizzle stick, sleeping mask and anything else I've got coming to me.	Yes, sir. Can I get you something?
We're all gonna die!	No.
Look, Marge, that guy has the same last name we do... Taxi!	We're all gonna die!
BOOOOO!	Oooh, look, Homer. The IRS.
Wowww -- A shoehorn! Just like in the movies!	Homer, look! They give you a shower cap, and body gel and bathrobes... Ooh, and a welcoming mint on your pillow.
Shoe goes on, shoe goes off. Shoe goes on, shoe goes off. Shoe goes on, shoe goes off.	Wowww -- A shoehorn! Just like in the movies!
Stupid welcoming mint! Y'ello.	MOMMM!
Wake-up call? It's two AM!	Good morning. This is your wake-up call.
Free food?!	Sorry fatso.
"Ooh! I love your magazine. My favorite section is ""How To Increase Your Word Power."" That thing is really, really, really good."	Lisa? I'm Faith Crowley, Patriotism Editor of Reading Digest.
"Miss? What does the ""I"" stand for?"	These are special VIP badges. They'll get you into places other tourists never see.
"Ah! What does the ""I"" stand for again?"	"Miss? What does the ""I"" stand for?"
Yeah, right.	"""On this spot, Richard Nixon bowled back-to back-300 games."""
Mmmmmm... Money.	Oh, you have those damn badges. Okay, this tub was installed in 1894...
Lousy cheap country...	Folks, we print more than eighteen million bills a day. Oh, and in case you were wondering... no we, we don't give out free samples.
BART! Get out of the Spirit of St. Louis!	Lousy cheap country...
Hey, what's so funny?	BART! Get out of the Spirit of St. Louis!
Oh Marge, grow up.	Hey, what's so funny?
Who's that?	I'm too excited to sleep. Anyone up for the Winifred Beecher Howe Memorial?
Bart, are you ready to go to... I'll room service you...	Thank you!
Yeah, your other speech was a little more crowd pleasin'.	Lisa, what's gotten into you?
Gimme one of those!	Extra! Extra! Feds nab rotten Rep!
Give her the check!	Miss Crowley, thank you for this over-sized novelty check. I would like to share this honor with all of my fellow essayists. Particularly the courageous Lisa Simpson, whose inflammatory rhetoric reminded us that the price of freedom is eternal vigilance.
I was serious.	Give her the check!
I'm almost done.	Why Homer, you silly goose! The weed whacker's just for the edges! You're gonna be out here all day!
I'll be there. Not-y not-y not.	You are a picture and a half! Well -- hee hee! -- if you're finished by tomorrow, come on over and strap on the feed bag. We're gonna fire up old Propane Elaine and put the heat to the meat! Nummy nummy num!
Well, why doesn't he just say so?	I think it means he's having a barbecue.
Oh, here we go again. Look, I don't care if Ned Flanders is the nicest guy in the world, he's a jerk. End of story.	He's trying to be friendly. You know, if you gave Ned Flanders a chance --
Excuse me? Better? Thanks a lot, Marge, you really put me in my place.	We can't hold it against him, just because he has things a little better than we do --
Don't get me wrong, it's worth feeling three inches tall to find out what kind of a person you really are. Marge Simpson... President of the International We Love Flanders Fan Club...	Oh, Homer.
Stupid Flanders... always showing off. Go ahead, Marge, have a ball... What if they game back and I was dead from not eating? They'd cry their eyes out. We should have never gone to the Flanders'. Oh, why did we go to the Flanders' house and leave Homer all alone with no food. And I'd be laughing. Laughing from my grave.	And so the Saskatchewan Rough Riders, who scored only four rouges all last season, Jack, get the kicker they so sorely need...
What is it, boy? What? Mmmmmmmm... bar-b-que.	Stupid Flanders... always showing off. Go ahead, Marge, have a ball... What if they game back and I was dead from not eating? They'd cry their eyes out. We should have never gone to the Flanders'. Oh, why did we go to the Flanders' house and leave Homer all alone with no food. And I'd be laughing. Laughing from my grave.
Hey, everyone, I'm back! Great to see ya! Nice seein' ya!	What is it, boy? What? Mmmmmmmm... bar-b-que.
Hey, no tagbacks.	"Okay... Now you're ""it""!"
The fly was funny and a booger was the icing on the cake...	You lie like a fly with a booger in its eye.
That was a joke?	"Friends, we love you all, but I also have a ""sinister"" motive for asking you all here -- ""sinister"" being Latin for ""left-handed."" But enough joking."
Uh... Sounds like a pretty dumb idea to me.	So Homer, I'm dyin' to know. What do you think of the Leftorium?
Fun? Where is this store, Flanders? The merry old land of Oz?	Well, I know it's a little risky and it's gonna be a lot of hard work, but gosh darn it, it's gonna be a lot of fun, too.
Nah.	Oh, here, you two. Make a wish.
No, it isn't.	It's fun.
Hmm, let's see.	You must have something you want to wish for, Homer.
Nah.	Hmm, let's see.
Hmmm.	Nah.
Heyyyy.	Hmmm.
Keep your pants on, Flanders! I'm wishing as fast as I can!	Come on, Homer! I got an ambition to do some wishin'!
Ooooh.	Keep your pants on, Flanders! I'm wishing as fast as I can!
Okay. Ready.	Mmmm -- too far.
Yesssss! Oh yessss! Read it and weep. In your face. I've got more chicken bone!	Okay. Ready.
Oooh. That would be a shame.	No, no, no, don't say. Otherwise it won't come true.
Wouldn't it, Flanders?	Oooh. That would be a shame.
Marge, TV gives so much and asks so little. It's a boy's best friend.	Yeah, but what are ya gonna do?
See, Marge? You knock TV and then it helps you out. I think you owe somebody a little apology.	That sounds fine, Bart.
Ow. Ow. Ow. Ow.	Well, if it isn't the Leftorium.
Hey Flanders, how's business?	Ow. Ow. Ow. Ow.
So, Flanders, have you sold anything?	Absotively posilutely.
I'm telling you, Flanders' store was dee-serted. So what do you think of your bestest buddy now, Marge?	Touch of death!
No, I do not know what Schadenfreude is. Please tell me, because I'm dying to know.	Dad, do you know what Schadenfreude is?
Oh, come on, Lisa. I'm just glad to see him fall flat on his butt. He's usually all happy and comfortable and surrounded by loved ones, and it makes me feel... What's the opposite of that shameful joy thing of yours?	"It's the German term for ""shameful joy"" -- taking pleasure in the suffering of others."
Boy, those Germans have a word for everything.	Sour grapes.
Yeah, come on boy, this better be worth my ten bucks.	So Bart, what did you learn in karate school today?
Ooh, the touch of death.	Uh, I learned the touch of death.
Hey, boy. How was class?	All right. Comin' through. Outta my way. Move it along. Step aside, lady.
Oh, that'll learn 'im.	Today we learned how to rip a man's heart out and show it to him before he dies.
Hey Flanders, when are your busy hours?	Pinking shears? Let's go to the Food Court and steal some baked potatoes.
Lousy. He just sits there all day. He'd have a great job if he didn't own the place.	Hey Homer, how's your neighbor's store doing?
Uh, well actually, Moe...	Crummy right-handed corkscrews! What does he sell?
Apple, apple, apple... Come on candy bar. Hey, I know you! You're that first apple I didn't want. That sinks it. I'm really gonna let 'em have it this time!	But Bart --
Homer Simpson, sir.	Ah! Look, Smithers, another member of our nuclear family, with some helpful suggestions. And what's your name?
Can I leave, Mr. Burns?	"Oh! It's a real one! ""No more apples in the vending machine, please."" Well, that's almost a sentence!"
But the note was asking you to --	Oh, of course. And don't worry, there'll be plenty of apples for you. Nobody will take away your precious apples.
Um, Mr. Burns...	Damned infernal gizmo. My kingdom for a left-handed can opener!
Sorry, Flanders.	Come on, Homer. Tell him about the store. I'm dyin' out here.
Huh?	Sorry, Flanders.
Hey, Flanders. Is everything okay?	Hey, I'm flexible! You don't have to pay all at once. I'll be here all night if you change your mind.
Oh, I get it. It's not good enough for you, but it's good enough for me! Well, I wouldn't be caught dead buying this... Hello!	Oh, yeah. Sure. Thought I'd just get rid of some of the clutter. See anything you like?
I'll give you twenty bucks for it.	Ah, got your eye on the gas grill. She's a butane beaut.
You were swindled, my friend. Twenty bucks. Take it or leave it.	Twenty? Homer, I paid three hundred dollars for this just last year.
Sorry! No cash for Neddie! Homer keep all money! Bye bye Neddie! Bye bye!	Oh, Homer, be reasonable.
Twenty dollars?	All right, Homer.
Now I don't want it.	Twenty dollars.
I changed my mind. It was a passing fancy. Although perhaps if you threw in a few lawn chairs, maybe that tool bench, it might rekindle my interest.	What?
Hey, Bartle- eeboobely, care for a steak-a-rooney?	I changed my mind. It was a passing fancy. Although perhaps if you threw in a few lawn chairs, maybe that tool bench, it might rekindle my interest.
Daddly-doodly.	Sounds scrump-didly-umptious, dear old Daddly-doodly.
Only seventy-five beans!	Homer, this is the Flanders' entire living room set. How much did you pay for this?
Oh, I know I need to pay them. But there's just so many.	Good afternoon, sir, I'm Chuck Ellis from the Springfield Collection Agency, and I'm here to ask you why you don't think you need to pay your bills.
Flanders is in debt? Are you sure?	Oh.
Uh, there's a store where...	Damn right-handed ledgers... can't write in these things...
Yeah.	Hey, you said you're Homer Simpson?
Oh, Flanders, I, uh, want to give you your stuff back.	Homer! Over here!
You're gonna live in your car?	Well, there's no house to put it in, Homer, not since that nice fellow from the bank, who was only doing his job, came and locked it up.
I know!	Listen to that singing... those poor fools. Homer, I'm ruined.
Why not?	You know at times like these, I-I used to turn to the Bible and find solace. But even the good book can't help me now.
Oh.	I sold it to you for seven cents.
Oh, it's all my fault.	You know, ever since that barbecue, nothing's gone right. It's like there's been a-a curse on me.
Yes it is.	No it's not.
No, I was a swine.	No! You tried to warn me about gambling my family's future on some pig in a poke... I didn't listen. Homer, you were a true friend.
Listen, Flanders, do you still have that store?	No, I was a swine.
Flanders, you open that store tomorrow!	For two more days. Then it becomes Libertarian Party headquarters. I hope they have better luck than I did.
I SAID DO IT!	Oh, Homer, there's no point...
Hello, Jerry? Homer Simpson. Remember last month, when I paid back that loan? Well, now I need you to do a favor for me.	I SAID DO IT!
C'mon, you lefties. What'd I tell you?	Hurry, Neddie, hurry! Oh golly, it's a miracle!
